caso,split,turno_id,fase_abcde,seccion,is_ramificacion,texto_operador,contexto_previo,actos_verbales,actos_verbales_str
Camila,train,Camila_0000,A,1,False,"Línea de apoyo psicológico, habla Matías. ¿Con quién hablo? CAMILA voz entrecortada No puedo… no puedo sacármelo de la cabeza. Estoy aquí. Vamos de a poco. Primero dígame su nombre, por favor. CAMILA Camila. Camila, soy Matías. Voy a quedarme con usted en la llamada. No tiene que contarme todo de golpe. Primero quiero saber dónde está ahora. CAMILA En mi departamento. Bien. Está en su departamento. ¿Está sola? CAMILA Sí. No… o sea, sola aquí adentro. El conserje me ayudó a subir. Pero estoy sola. Entiendo. Está sola dentro del departamento, pero hubo alguien que la ayudó a llegar. Antes de hablar del asalto, necesito verificar algo básico. ¿La puerta está cerrada?",,"['validacion', 'silencio_contencion']",validacion|silencio_contencion
Camila,train,Camila_0001,A,1,False,"No corra. Solo mire hacia la puerta desde donde está. ¿La ve cerrada? CAMILA Sí. ¿Tiene puesto el seguro o pestillo? CAMILA No sé. No me acuerdo. Si puede hacerlo sin abrir la puerta, acérquese despacio, ponga el pestillo y vuelva a sentarse. Yo sigo con usted.",,['directivo'],directivo
Camila,train,Camila_0002,A,1,False,"Muy bien. Eso fue una acción de seguridad. Vuelva a sentarse si puede. CAMILA Estoy en el suelo. Está bien. Puede quedarse en el suelo. ¿Está herida físicamente? ¿Tiene sangre, golpes fuertes o dolor intenso? CAMILA No. Creo que no. Me duele la espalda, pero no sé si es de tensión. No me pegaron. Me apuntaron.",,"['silencio_contencion', 'directivo']",silencio_contencion|directivo
Camila,train,Camila_0003,A,1,False,"La apuntaron con un arma. CAMILA En la cara. Pensé que me iban a matar. Camila, lamento mucho que haya vivido eso. No voy a pedirle que me cuente todo ahora. Lo primero es usted: su cuerpo, su seguridad y que no pase esto sola. CAMILA No puedo respirar bien. Me tiemblan las manos. Veo la pistola. La imagen sigue apareciendo. Tiene sentido después de una amenaza directa. Vamos a trabajar primero con eso, antes de hacer cualquier trámite.",,"['validacion', 'reflejo', 'silencio_contencion']",validacion|reflejo|silencio_contencion
Camila,train,Camila_0004,B,2,False,"Camila, antes de seguir con puertas, llaves o llamadas, quiero quedarme un momento con usted. Su cuerpo todavía está allá, frente a la pistola, aunque usted ya esté en su departamento. CAMILA Es que la veo. Cierro los ojos y la veo. Entonces no cierre los ojos. Manténgalos abiertos. Busque un punto fijo en la pieza: una esquina, una mesa, una cortina, algo que no se mueva. CAMILA La esquina de la pared. Bien. Mire esa esquina. No tiene que imaginar nada. Solo la esquina. ¿Sus pies están tocando el suelo? CAMILA Sí. Presione un poco los pies contra el suelo. No fuerte. Solo para notar que está aquí.",,"['silencio_contencion', 'directivo']",silencio_contencion|directivo
Camila,train,Camila_0005,B,2,False,"Ahora vamos a probar una respiración corta. Si no resulta, la dejamos. Inhale contando cuatro conmigo: uno… dos… tres… cuatro. Mantenga el aire: uno… dos… tres… cuatro. Suelte el aire: uno… dos… tres… cuatro. CAMILA No puedo mantenerlo. No puedo. Está bien. No lo fuerce. La técnica no tiene que salir perfecta. Hacemos una versión más simple: inhale dos, suelte cuatro. Inhale… uno, dos. Suelte… uno, dos, tres, cuatro. Camila exhala de forma temblorosa. Otra vez. Inhale dos. Suelte cuatro.",,"['silencio_contencion', 'directivo']",silencio_contencion|directivo
Camila,train,Camila_0006,B,2,False,"Tiene sentido. Una parte suya cree que si baja la guardia se expone. Pero respirar no significa dejar de cuidarse. La puerta está cerrada. El pestillo está puesto. Respirar es para que usted pueda seguir aquí y tomar decisiones. CAMILA No me siento aquí. Vamos a anclarla al presente. Sin cerrar los ojos. Dígame cinco cosas que ve. CAMILA La mesa… el sillón… una taza… mis zapatos… la cortina. Cuatro cosas que puede tocar. CAMILA El suelo… mi pantalón… la pared… el teléfono. Tres sonidos que escucha. CAMILA Autos… el refrigerador… su voz. Dos olores, aunque sean suaves. CAMILA Mi ropa… café viejo. Una frase de este momento. CAMILA Estoy en mi departamento. Exacto. Está en su departamento. No está en la encerrona.",,['validacion'],validacion
Camila,train,Camila_0007,B,3,False,"Ahora que pudo nombrar cosas de la pieza, probemos una vez más la respiración 4-4-4, solo una vuelta. Si no se puede, volvemos a la versión simple. CAMILA Ya. Inhale contando cuatro: uno… dos… tres… cuatro. Mantenga: uno… dos… tres… cuatro. Suelte: uno… dos… tres… cuatro. Camila lo intenta. La exhalación sale quebrada. Bien. No fue perfecta, pero la hizo. ¿Quiere hacer otra o prefiere parar? CAMILA No sé. Me da miedo. Entonces paramos. Eso también es control: usted puede decir cuándo parar. Suelte el aire largo una vez más. Camila exhala. CAMILA Tengo náuseas. Mire si hay un basurero, baño o bolsa cerca, sin levantarse rápido. CAMILA El baño está al lado. No se levante todavía si está mareada. Si necesita moverse, lo hace despacio, con una mano en la pared. Primero quiero saber qué es lo que más la asusta en este minuto: que entren, que vuelva la imagen, quedarse sola, o no poder controlar el cuerpo. CAMILA No poder controlar el cuerpo. Entonces trabajamos primero con eso. Los trámites esperan. Su cuerpo acaba de recibir una amenaza enorme. No tiene que obedecer de inmediato. Vamos a ir bajando de a poco.",,"['silencio_contencion', 'directivo']",silencio_contencion|directivo
Camila,train,Camila_0008,B,3,True,"Camila, escúcheme. No intente llenar los pulmones. Solo suelte aire. Como si empañara un espejo. Yo cuento: uno… dos… tres… cuatro. Ahora deje que el aire entre solo. No lo fuerce. CAMILA Me hormiguean las manos. Puede pasar cuando la respiración está muy rápida. Es muy desagradable, pero no significa que se esté muriendo. Su cuerpo está en alarma. Vamos a seguir soltando el aire más lento.",,[],sin_etiqueta
Camila,train,Camila_0009,B,3,True,"No se acerque a la ventana ahora. Mirar puede aumentar el miedo y hacer que su cuerpo vuelva a sentir que está en peligro. Si necesitamos verificar seguridad, lo hacemos por conserjería o con alguien de confianza, no asomándose sola. CAMILA Pero necesito saber. Lo que necesita saber ahora es esto: la puerta está cerrada, el pestillo está puesto y usted está hablando conmigo. Vamos a sumar más seguridad sin que usted se exponga.",,['directivo'],directivo
